sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
ERR247154	None	Level 1	4.5-0.5-0.0-1.1-2.2-0.5	5.6E-02	2.0E-02	8.7E-04	4.0E-01	3.4E-01	1.8E-01	6.2E+02
ERR247142	None	Level 2	2.9-0.6-0.0-1.2-2.3-0.4	3.6E-02	2.3E-02	0.0E+00	4.5E-01	3.6E-01	1.4E-01	4.9E+02
ERR247139	None	Level 1	13.7-0.4-0.0-1.1-2.0-0.2	1.7E-01	1.7E-02	1.2E-03	4.1E-01	3.2E-01	8.4E-02	5.4E+02
ERR247161	None	Level 1	4.8-0.0-0.0-0.5-4.3-0.3	6.0E-02	1.2E-03	0.0E+00	1.8E-01	6.6E-01	9.6E-02	3.9E+02
ERR247148	None	Level 2	1.5-3.3-0.1-1.2-1.9-0.2	1.9E-02	1.3E-01	6.8E-03	4.7E-01	2.9E-01	8.3E-02	1.0E+03
ERR247173	None	Level 2	3.0-1.3-0.0-0.9-2.5-0.5	3.8E-02	5.2E-02	4.5E-04	3.3E-01	3.8E-01	1.9E-01	3.5E+02
ERR247170	None	Level 1	3.5-0.0-0.4-1.2-2.0-0.4	4.4E-02	9.9E-04	1.9E-02	4.7E-01	3.0E-01	1.6E-01	6.6E+02
ERR247162	None	Level 2	2.4-0.6-0.0-1.0-2.3-0.5	3.1E-02	2.4E-02	1.8E-03	3.9E-01	3.6E-01	1.9E-01	4.2E+02
ERR247155	None	Level 1	5.8-0.8-0.0-0.6-3.7-0.3	7.3E-02	3.1E-02	1.8E-04	2.1E-01	5.7E-01	1.2E-01	3.1E+02
ERR247150	None	Level 2	1.6-1.1-0.1-1.3-2.4-0.2	2.0E-02	4.3E-02	6.1E-03	5.0E-01	3.7E-01	6.7E-02	7.5E+02
ERR247171	None	Level 2	2.1-0.3-0.1-1.0-1.9-0.8	2.6E-02	1.2E-02	4.1E-03	3.9E-01	2.9E-01	2.8E-01	8.1E+02
ERR247147	None	Level 2	2.1-0.7-0.0-1.1-2.5-0.3	2.6E-02	2.5E-02	6.3E-04	4.4E-01	3.9E-01	1.1E-01	7.6E+02
ERR247143	None	Level 2	2.7-0.8-0.0-1.5-1.4-0.5	3.5E-02	3.2E-02	0.0E+00	5.6E-01	2.1E-01	1.6E-01	7.0E+02
ERR247146	None	Level 1	17.8-0.1-0.0-0.7-2.2-0.5	2.2E-01	4.8E-03	4.8E-04	2.6E-01	3.4E-01	1.7E-01	5.3E+02
ERR247172	None	Level 2	2.2-0.1-0.0-1.2-2.1-0.5	2.8E-02	5.6E-03	2.9E-04	4.5E-01	3.3E-01	1.9E-01	7.0E+02
ERR247153	None	Level 1	3.2-0.9-0.0-1.1-2.3-0.5	4.0E-02	3.5E-02	9.5E-05	4.1E-01	3.5E-01	1.7E-01	5.3E+02
ERR247159	None	Level 1	5.0-0.0-0.0-1.3-1.7-0.5	6.2E-02	1.3E-03	0.0E+00	4.9E-01	2.7E-01	1.8E-01	4.1E+02
170201Alm_D17-1562	None	Level 1	12.7-6.1-1.2-0.8-0.4-0.5	1.6E-01	2.4E-01	5.5E-02	3.0E-01	6.0E-02	1.9E-01	1.2E+03
170201Alm_D17-1564	None	Level 1	8.0-3.8-0.6-1.1-0.4-0.7	1.0E-01	1.5E-01	2.8E-02	4.1E-01	6.4E-02	2.5E-01	7.4E+02
170201Alm_D17-1560	None	Level 1	9.6-4.1-1.1-1.0-0.4-0.7	1.2E-01	1.6E-01	5.1E-02	3.7E-01	5.8E-02	2.4E-01	1.2E+03
170201Alm_D17-1563	None	Level 1	11.6-3.2-1.2-1.1-0.3-0.6	1.5E-01	1.2E-01	5.4E-02	4.1E-01	5.2E-02	2.2E-01	1.0E+03
170613Alm_D17-137032	None	Level 1	4.2-3.2-0.2-0.9-2.0-0.4	5.2E-02	1.2E-01	1.2E-02	3.6E-01	3.1E-01	1.4E-01	5.6E+02
170613Alm_D17-137034	None	Level 2	2.5-3.6-0.9-0.9-2.0-0.4	3.2E-02	1.4E-01	4.3E-02	3.4E-01	3.1E-01	1.4E-01	7.2E+02
170613Alm_D17-137036	None	Level 2	1.3-3.2-1.6-0.7-2.4-0.4	1.6E-02	1.3E-01	7.3E-02	2.8E-01	3.6E-01	1.4E-01	4.5E+02
